"codigoCentro","nroSeccion","nroCircuito","letraCircuito","nombreCircuito","nroMesa","letraMesa","fechaHora"
"ROSARIO","01","402","","ARMSTRONG","23","","2015-06-15 00:56:20"
"SANTAFE","09","021","","COLASTINE","2894","","2015-06-15 00:56:09"
"ROSARIO","14","359","","ROSARIO SEC.15A T.SUIZO","5988","","2015-06-15 00:55:26"
"ROSARIO","14","353","","ROSARIO SEC.12A LUDUEÑA","5369","","2015-06-15 00:54:06"
"ROSARIO","14","349","A","ROSARIO SEC.18A S.FRANC.","5146","","2015-06-15 00:53:56"
"SANTAFE","09","013","","STA.FE (SEC. 5A S.CABRAL)","2267","","2015-06-15 00:52:56"
"SANTAFE","07","235","","LAS TOSCAS","1804","","2015-06-15 00:51:59"
"ROSARIO","02","368","A","CASILDA","197","","2015-06-15 00:48:48"
"ROSARIO","06","386","","CARMEN","1002","","2015-06-15 00:48:12"
"ROSARIO","14","342","B","ROSARIO SCOM.2 N.ALBERDI","4374","","2015-06-15 00:48:08"
"SANTAFE","09","013","","STA.FE (SEC. 5A S.CABRAL)","2291","","2015-06-15 00:45:42"
"ROSARIO","06","399","","VENADO TUERTO","1251","","2015-06-15 00:44:46"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5245","","2015-06-15 00:44:44"
"SANTAFE","10","020","B","SANTO TOME","2885","","2015-06-15 00:41:16"
"SANTAFE","03","128","C","RAFAELA (SEC. 3A)","581","","2015-06-15 00:40:52"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5677","","2015-06-15 00:39:53"
"ROSARIO","14","353","A","ROSARIO SEC.17A ANT.ARG.","5470","","2015-06-15 00:36:44"
"SANTAFE","09","017","","STA.FE (SEC. 9A)","2612","","2015-06-15 00:33:31"
"ROSARIO","13","337","","ROSARIO SEC. 7A","4123","","2015-06-15 00:33:29"
"ROSARIO","14","347","A","ROSARIO SEC.19A GODOY","4781","","2015-06-15 00:32:37"
"SANTAFE","09","006","","STA.FE (SEC. 1A)","2080","","2015-06-15 00:30:37"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5248","","2015-06-15 00:29:52"
"ROSARIO","15","362","E","VILLA GOB GALVEZ","6304","","2015-06-15 00:26:15"
"ROSARIO","14","359","A","ROSARIO SEC.21A M.S.MART.","6125","","2015-06-15 00:22:26"
"SANTAFE","09","017","","STA.FE (SEC. 9A)","2631","","2015-06-15 00:22:12"
"ROSARIO","15","355","","GDERO. BAIGORRIA","5676","","2015-06-15 00:21:31"
"ROSARIO","14","348","","ROSARIO SEC.11A R.S.PEÑA","4930","","2015-06-15 00:19:59"
"SANTAFE","03","128","A","RAFAELA","430","","2015-06-15 00:19:45"
"ROSARIO","14","349","B","ROSARIO SEC.19A MODERNO","5251","","2015-06-15 00:19:38"
"ROSARIO","14","353","A","ROSARIO SEC.17A ANT.ARG.","5513","","2015-06-15 00:18:17"
"SANTAFE","09","011","A","STA.FE (SUB.COM. 2A)","2217","","2015-06-15 00:13:42"
"SANTAFE","03","128","A","RAFAELA","432","","2015-06-15 00:13:18"
